rss_title,letterboxd_slug,letterboxd_url,watched_at,user_rating,status,notes,tmdb_id,title,year,directors,genres,countries,runtime,original_language,poster_url
"Lord of the Flies, 2026 - ★★★★",lord-of-the-flies-2026,https://letterboxd.com/crazykungfu/film/lord-of-the-flies-2026/,"Tue, 23 Jun 2026 09:38:02 +1200",4.0,needs_metadata,,,,,,,,,,
"Dead Man's Wire, 2025 - ★★★½",dead-mans-wire,https://letterboxd.com/crazykungfu/film/dead-mans-wire/,"Thu, 30 Apr 2026 07:58:47 +1200",3.5,needs_metadata,,,,,,,,,,
"Empire of Silence, 2021 - ★★★★★",empire-of-silence,https://letterboxd.com/crazykungfu/film/empire-of-silence/,"Tue, 14 Apr 2026 09:32:32 +1200",5.0,needs_metadata,,,,,,,,,,
