rss_title,letterboxd_slug,letterboxd_url,watched_at,user_rating,status,notes,tmdb_id,title,year,directors,genres,countries,runtime,original_language,poster_url
"Ride Away, 2024 - ★★★★",ride-away-2024,https://letterboxd.com/mathouix/film/ride-away-2024/,"Sun, 17 May 2026 18:51:18 +1200",4.0,needs_metadata,,,,,,,,,,
"Wake Up Dead Man, 2025 - ★★½",wake-up-dead-man,https://letterboxd.com/mathouix/film/wake-up-dead-man/,"Tue, 16 Dec 2025 00:44:19 +1300",2.5,needs_metadata,,,,,,,,,,
"Adolescence, 2025 - ★★½",adolescence-2025,https://letterboxd.com/mathouix/film/adolescence-2025/,"Sat, 1 Nov 2025 12:36:04 +1300",2.5,needs_metadata,,,,,,,,,,
"Riverboom, 2023 - ★★★½",riverboom,https://letterboxd.com/mathouix/film/riverboom/,"Mon, 24 Feb 2025 11:05:15 +1300",3.5,needs_metadata,,,,,,,,,,
