rss_title,letterboxd_slug,letterboxd_url,watched_at,user_rating,status,notes,tmdb_id,title,year,directors,genres,countries,runtime,original_language,poster_url
"The Fire Within: A Requiem for Katia and Maurice Krafft, 2022 - ★★★½",the-fire-within-a-requiem-for-katia-and-maurice,https://letterboxd.com/tanguytare/film/the-fire-within-a-requiem-for-katia-and-maurice/,"Mon, 29 Jun 2026 06:46:24 +1200",3.5,needs_metadata,,,,,,,,,,
"Bouchra, 2025",bouchra,https://letterboxd.com/tanguytare/film/bouchra/,"Wed, 24 Jun 2026 03:45:32 +1200",,needs_metadata,,,,,,,,,,
"Lost Land, 2025 - ★★★",lost-land-2025,https://letterboxd.com/tanguytare/film/lost-land-2025/,"Tue, 5 May 2026 08:29:34 +1200",3.0,needs_metadata,,,,,,,,,,
